OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
3001,4327    2049,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3002,4327    2050,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3096,2018-09-17T09:53:41.000Z
3003,4327    2051,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2827,2018-09-17T09:53:41.000Z
3004,4327    2052,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3005,4327    2053,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3006,4327    2054,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3096,2018-09-17T09:53:41.000Z
3007,4327    2055,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2827,2018-09-17T09:53:41.000Z
3008,4327    2056,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3009,4327    2057,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3590,2018-09-17T09:53:41.000Z
3010,4327    2058,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3011,4327    2059,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3012,4327    2060,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2827,2018-09-17T09:53:41.000Z
3013,4327    2061,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3096,2018-09-17T09:53:41.000Z
3014,4327    2062,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3015,4327    2063,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3016,4327    2064,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3017,4327    2065,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3018,4327    2066,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2827,2018-09-17T09:53:41.000Z
3019,4327    2067,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3096,2018-09-17T09:53:41.000Z
3020,4327    2068,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3021,4327    2069,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3022,4327    2070,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2827,2018-09-17T09:53:41.000Z
3023,4327    2071,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3096,2018-09-17T09:53:41.000Z
3024,4327    2072,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3025,4327    2073,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3026,4327    2074,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3027,4327    2075,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3028,4327    2076,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3029,4327    2077,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,3096,2018-09-17T09:53:41.000Z
3030,4327    2078,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2019,2018-09-17T09:53:41.000Z
3031,4327    2079,1,1,C,Brick/Concr,40,Good,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1989,,1989,1,2246,216,2648,2018-09-17T09:53:41.000Z
3032,5044    0021,1,1,C,Brick/Concr,30,Average,BR,Brick,8,1,2008-11-26T00:00:00.000Z,660000,Q,1985,2014,2002,1,3050,41,8336,2018-09-17T09:53:41.000Z
3033,5044    0803,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,1900-01-01T00:00:00.000Z,,U,1946,,1946,1,12500,74,13984,2018-09-17T09:53:41.000Z
3034,5044    0807,1,1,C,Brick/Concr,30,Average,CB,Concrete Block,20,0,2014-06-11T00:00:00.000Z,925000,Q,1928,2014,1973,3,16284,75,14157,2018-09-17T09:53:41.000Z
3035,5044    0808,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,2004-05-27T00:00:00.000Z,740000,Q,1928,,1928,1,21472,75,40459,2018-09-17T09:53:41.000Z
3036,5044    0812,1,1,C,Brick/Concr,30,Average,BR,Brick,,1,2018-08-24T00:00:00.000Z,7756730,Q,1942,2015,1987,2,61713,44,261477,2018-09-17T09:53:41.000Z
3037,5045E   0001,1,1,C,Brick/Concr,30,Average,BV,Brick Veneer,8,22,2003-12-23T00:00:00.000Z,0,U,1957,,1957,1,20018,21,11733,2018-09-17T09:53:41.000Z
3038,5045E   0002,1,1,C,Brick/Concr,30,Average,BR,Brick,8,1,1900-01-01T00:00:00.000Z,,U,1957,2011,1961,1,1748,65,15605,2018-09-17T09:53:41.000Z
3039,5045E   0003,1,1,C,Brick/Concr,30,Average,BR,Brick,8,1,2003-04-02T00:00:00.000Z,950000,Q,1987,,1990,1,512,365,18586,2018-09-17T09:53:41.000Z
3040,5046    0062,1,1,C,Brick/Concr,20,Fair,BR,Brick,8,6,2003-09-11T00:00:00.000Z,0,U,1941,,1941,1,2720,21,6368,2018-09-17T09:53:41.000Z
3041,5046    0062,2,1,0,Default,0,Default,CB,Concrete Block,12,,2003-09-11T00:00:00.000Z,0,U,1941,,1941,1,1520,21,6368,2018-09-17T09:53:41.000Z
3042,5046    0063,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2016-06-24T00:00:00.000Z,314880,Q,1941,1973,1917,3,1520,28,6576,2018-09-17T09:53:41.000Z
3043,5046    0063,2,1,C,Brick/Concr,30,Average,BR,Brick,8,,2016-06-24T00:00:00.000Z,314880,Q,1941,,1950,3,2720,28,6576,2018-09-17T09:53:41.000Z
3044,5046E   0024,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,2004-06-16T00:00:00.000Z,250000,U,1946,2002,1945,1,1500,41,1734,2018-09-17T09:53:41.000Z
3045,5046E   0025,1,1,C,Brick/Concr,30,Average,BR,Brick,8,0,2004-06-16T00:00:00.000Z,250000,U,1946,,1953,1,1500,41,1748,2018-09-17T09:53:41.000Z
3046,5046E   0045,1,1,B,Reinf Concr,45,Good +,BR,Brick,12,1,2017-05-12T00:00:00.000Z,975000,Q,1941,,1985,2,1976,41,10000,2018-09-17T09:53:41.000Z
3047,5046E   0046,1,1,C,Brick/Concr,30,Average,CB,Concrete Block,8,1,2002-07-02T00:00:00.000Z,500000,Q,1942,2013,1966,1,7500,51,8288,2018-09-17T09:53:41.000Z
3048,5046E   0047,1,1,C,Brick/Concr,30,Average,0,Typical,8,96,1900-01-01T00:00:00.000Z,,U,1991,,1994,1,73776,21,31393,2018-09-17T09:53:41.000Z
3049,5046E   0810,1,1,C,Brick/Concr,20,Fair,CB,Concrete Block,8,0,2011-01-28T00:00:00.000Z,0,U,1972,2011,1975,1,2280,41,16326,2018-09-17T09:53:41.000Z
3050,5047    0030,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,7957,2018-09-17T09:53:41.000Z
3051,5047    0031,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,2007,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3052,5047    0032,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3053,5047    0033,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3054,5047    0034,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3055,5047    0035,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3056,5047    0036,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3057,5047    0037,1,1,C,Brick/Concr,30,Average,BR,Brick,8,8,2007-01-22T00:00:00.000Z,4125000,U,1941,2005,1965,1,4834,21,5000,2018-09-17T09:53:41.000Z
3058,5047    0038,1,1,C,Brick/Concr,30,Average,BR,Brick,8,9,2007-01-22T00:00:00.000Z,4125000,U,1941,,1965,1,4834,21,6226,2018-09-17T09:53:41.000Z
3059,5047    0039,1,1,C,Brick/Concr,35,Average +,BR,Brick,8,0,2006-10-18T00:00:00.000Z,800000,Q,1942,,1950,1,3014,41,7520,2018-09-17T09:53:41.000Z
3060,5047    0805,1,1,C,Brick/Concr,10,Poor,BR,Brick,,1,2018-05-30T00:00:00.000Z,0,U,1950,,1957,3,7500,44,33836,2018-09-17T09:53:41.000Z
3061,5047    0806,1,1,C,Brick/Concr,10,Poor,BR,Brick,,1,2018-05-30T00:00:00.000Z,0,U,1950,,1957,3,7500,44,49801,2018-09-17T09:53:41.000Z
3062,5048    0014,1,1,C,Brick/Concr,20,Fair,BR,Brick,8,0,1900-01-01T00:00:00.000Z,,U,1969,,1969,1,17809,81,13654,2018-09-17T09:53:41.000Z
