nbhd,nbhd_name
1,American University
2,Anacostia
3,Barry Farms
4,Berkley
5,Brentwood
6,Brightwood
7,Brookland
8,Burleith
9,Capitol Hill
10,Central
11,Chevy Chase
12,Chillum
13,Cleveland Park
14,Colonial Village
15,Columbia Heights
16,Congress Heights
17,Crestwood
18,Deanwood
19,Eckington
20,Foggy Bottom
21,Forest Hills
22,Fort Dupont Park
23,Foxhall
24,Garfield
25,Georgetown
26,Glover Park
27,Hawthorne
28,Hillcrest
29,Kalorama
30,Kent
31,Ledroit Park
32,Lily Ponds
33,Marshall Heights
34,Massachusetts Avenue Heights
35,Michigan Park
36,Mt. Pleasant
37,North Cleveland Park
38,Observatory Circle
39,Old City 1
40,Old City 2
41,Palisades
42,Petworth
43,Randle Heights
44,NoMa
46,Southwest Waterfront
47,Riggs Park
48,Shepherd Park
49,16th Street Heights
50,Spring Valley
51,Takoma Park
52,Trinidad
53,Wakefield
54,Wesley Heights
55,Woodley
56,Woodbridge
60,Rock Creek Park
61,National Zoological Park
62,Rock Creek Park
63,DC Stadium Area
64,Anacostia Park
65,National Arboretum
66,Fort Lincoln
67,St. Elizabeth's Hospital
68,Bolling Air Force Base
69,DC Village
70,Fort Drive
71,Glover – Archbold Parkway
72,Mall/East Potomac Park
73,Washington Navy Yard
74,Ft. Mcnair
