"all_items_1982_84_100","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"2008","220.587","","222.554","","224.525","","228.918","","228.871","","223.569",""
"2009","221.830","","222.630","","223.583","","226.084","","227.181","","226.533",""
"2010","227.440","","228.480","","228.628","","228.432","","230.612","","230.531",""
"2011","232.770","","235.182","","237.348","","238.191","","238.725","","238.175",""
"2012","238.994","","242.235","","242.446","","241.744","","244.720","","243.199",""
"2013","243.473","","245.477","","245.499","","246.178","","247.838","","247.264",""
"2014","247.679","","249.591","","250.443","","250.326","","250.634","","249.972",""
"2015","247.127","","249.985","","251.825","","250.992","","252.376","","251.327",""
"2016","250.807","","252.718","","254.850","","254.305","","253.513","","253.989",""
"2017","254.495","","255.435","","255.502","","255.518","","257.816","","257.872",""
"2018","260.219","","260.026","","261.770","","262.016","","263.056","","",""
